Drug,INN,Date first registered by US FDA,Company or Companies,Indication,Currency,Years since 1st US FDA approval,,,2016,US as share of global sales,Medicare dashboard as share of US sales,Medicare dashboard as percent of global,Foreign currency for global sales,#NAME?,"Exchange rates, 2016",multiply by,divide by
Soliris (USA Medicare Part D),eculizumab paroxysmal nocturnal hemoglobinuria,2007-03-16,Alexion,PNH; aHUS,USD,14.7,,,$21,,,,,,,,
Sovaldi,Sofosbuvir,2013-12-06,Gilead,HCV,USD,8.1,,,"$4,001",47%,49%,23%,,,,,
Sovaldi (US only),Sofosbuvir,2013-12-06,Gilead,HCV,USD,8.1,,,"$1,895",,,,,,,,
Sovaldi (USA Medicare Part B),Sofosbuvir,2013-12-06,Gilead,HCV,USD,8.1,,,$0,,,,,,,,
Sovaldi (USA Medicare Part D),Sofosbuvir,2013-12-06,Gilead,HCV,USD,8.1,,,$933,,,,,,,,
Sutent,Sunitinib,2006-01-26,Pfizer,Cancer: Kidney; Gastrointestinal Stromal Tumor; Advanced Pancreatic NET,USD,15.8,,,"$1,095",36%,47%,17%,,,,,
Sutent (US only),Sunitinib,2006-01-26,Pfizer,Cancer: Kidney; Gastrointestinal Stromal Tumor; Advanced Pancreatic NET,USD,15.8,,,$391,,,,,,,,
Sutent (USA Medicare Part B),Sunitinib,2006-01-26,Pfizer,Cancer: Kidney; Gastrointestinal Stromal Tumor; Advanced Pancreatic NET,USD,15.8,,,$0,,,,,,,,
Sutent (USA Medicare Part D),Sunitinib,2006-01-26,Pfizer,Cancer: Kidney; Gastrointestinal Stromal Tumor; Advanced Pancreatic NET,USD,15.8,,,$183,,,,,,,,
Tagrisso,osimertinib,2015-11-13,AstraZeneca,Cancer: non-small-cell lung carcinomas ,USD,6.2,,,$423,60%,45%,27%,,,,,
Tagrisso (US only),osimertinib,2015-11-13,AstraZeneca,Cancer: non-small-cell lung carcinomas ,USD,6.2,,,$255,,,,,,,,
Tagrisso (USA Medicare part B),osimertinib,2015-11-13,AstraZeneca,Cancer: non-small-cell lung carcinomas ,USD,6.2,,,$0,,,,,,,,
Tagrisso (USA Medicare part D),osimertinib,2015-11-13,AstraZeneca,Cancer: non-small-cell lung carcinomas ,USD,6.2,,,$113,,,,,,,,
Tasigna,Nilotinib,2007-10-29,Novartis,Cancer: Leukemia,USD,14.1,,,"$1,739",42%,43%,18%,,,,,
Tasigna (US only),Nilotinib,2007-10-30,Novartis,Cancer: Leukemia,USD,14.1,,,$722,,,,,,,,
Tasigna (USA Medicare Part B),Nilotinib,2007-10-31,Novartis,Cancer: Leukemia,USD,14.1,,,$0,,,,,,,,
Tasigna (USA Medicare Part D),Nilotinib,2007-11-01,Novartis,Cancer: Leukemia,USD,14.1,,,$308,,,,,,,,
Tecfidera,Dimethyl Fumarate,2013-03-27,Biogen IDEC,MS,USD,8.8,,,"$3,968",80%,29%,23%,,,,,
Tecfidera (US only),Dimethyl Fumarate,2013-03-27,Biogen IDEC,MS,USD,8.8,,,"$3,169",,,,,,,,
Tecfidera (USA Medicare Part B),Dimethyl Fumarate,2013-03-27,Biogen IDEC,MS,USD,8.8,,,$0,,,,,,,,
Tecfidera (USA Medicare Part D),Dimethyl Fumarate,2013-03-27,Biogen IDEC,MS,USD,8.8,,,$932,,,,,,,,
Truvada,emtricitabine/tenofovir,08/02/2004,Gilead,HIV,USD,17.2,,,"$3,566",67%,27%,18%,,,,,
Truvada (US only),emtricitabine/tenofovir,08/02/2004,Gilead,HIV,USD,17.2,,,"$2,384",,,,,,,,
Truvada (USA Medicare part B only),emtricitabine/tenofovir,08/02/2004,Gilead,HIV,USD,17.2,,,$0,,,,,,,,
Truvada (USA Medicare part D only),emtricitabine/tenofovir,08/02/2004,Gilead,HIV,USD,17.2,,,$636,,,,,,,,
Xalkori,Crizotinib,2011-08-26,Pfizer,Cancer: Non-Small Cell Lung Cancer,USD,10.4,,,$561,45%,39%,17%,,,,,
Xalkori (US only),Crizotinib,2011-08-27,Pfizer,Cancer: Non-Small Cell Lung Cancer,USD,10.3,,,$251,,,,,,,,
Xalkori (USA Medicare Part B),Crizotinib,2011-08-28,Pfizer,Cancer: Non-Small Cell Lung Cancer,USD,10.3,,,$0,,,,,,,,
Xalkori (USA Medicare Part D),Crizotinib,2011-08-29,Pfizer,Cancer: Non-Small Cell Lung Cancer,USD,10.3,,,$98,,,,,,,,
Yervoy,Ipilimumab,2011-03-25,Bristol-Myers Squibb (BMS),Cancer: Melanoma,USD,10.8,,,"$1,053",76%,30%,22%,,,,,
Yervoy (US only),Ipilimumab,2011-03-25,Bristol-Myers Squibb (BMS),Cancer: Melanoma,USD,10.8,,,$802,,,,,,,,
Yervoy (USA Medicare part B),Ipilimumab,2011-03-25,Bristol-Myers Squibb (BMS),Cancer: Melanoma,USD,10.8,,,$237,,,,,,,,
Yervoy (USA Medicare part D),Ipilimumab,2011-03-25,Bristol-Myers Squibb (BMS),Cancer: Melanoma,USD,10.8,,,$0,,,,,,,,
Zytiga,Abiraterone Acetate,2011-04-28,Janssen Biotech,"Cancer: prostate, testicular",USD,10.7,,,"$2,260",48%,76%,36%,,,,,
Zytiga (US only),Abiraterone Acetate,2011-04-28,Janssen Biotech,"Cancer: prostate, testicular",USD,10.7,,,"$1,089",,,,,,,,
Zytiga (USA Medicare Part B),Abiraterone Acetate,2011-04-28,Janssen Biotech,"Cancer: prostate, testicular",USD,10.7,,,$0,,,,,,,,
Zytiga (USA Medicare Part D),Abiraterone Acetate,2011-04-28,Janssen Biotech,"Cancer: prostate, testicular",USD,10.7,,,$823,,,,,,,,
